fecha,linea_negocio,producto,cantidad,monto,canal
2025-09-14,icon,Llavero coleccionable,5,S/ 99.90,IG
05/01/2025,impresion 3d,Trofeo personalizado,1,140.28,
2026-06-25,Impresión 3D,,1,S/ 254.81,Referido
17/06/2026,icon,Llavero coleccionable,1,0,IG
27/05/2025,Educación,Taller robótica colegio,1,554.89,Referido
20/09/2025,IMPRESION,Trofeo personalizado,1,0,IG
04/08/2026,ICON,Set diorama,1,105.39,Feria
19/04/2026,impresion 3d,Repuesto a medida,1,"-98,51",Web
2025-03-22,impresion 3d,Repuesto a medida,1,61.83,
2026-02-21,educacion,Taller impresión 3D,3,S/ 3245.11,WhatsApp
2025-09-06,Print,Trofeo personalizado,1,101.11,Feria
2025-09-28,tech ,Matriz/fixture,1,S/ 292.86,whatsapp
25-may-26,impresion 3d,Impresión resina por encargo,1,S/ 82.64,Referido
2025-08-02,ICON,,1,"47,51",Instagram
2026-01-17,PRINT,Prototipo funcional,1,195.81,Referido
2026-06-18,icon,Llavero coleccionable,1,17.23,Feria
27/07/2026,Print,Trofeo personalizado,10,2059.09,Instagram
2025-03-25,EDU ,Taller impresión 3D,1,"824,36",IG
2026-01-22,ICON,Figura Quri 8cm,1,S/ 59.26,
06/11/2025,IMPRESION,Impresión PLA por encargo,2,S/ 191.49,Instagram
2026-04-20,print ,Trofeo personalizado,1,"73,23",
,,,,,
2026-04-08,Impresión 3D,Prototipo funcional,2,S/ 762.61,Web
2025-12-13,EDU ,Capacitación docentes,3,4717.22,whatsapp
2026-01-15,TECH,Serie corta industrial,1,2126.02,whatsapp
2026-05-12,Coleccionables,Figura Quri 8cm,1,S/ 52.54,Referido
2026-02-26,impresion 3d,,1,S/ 53.55,WhatsApp
03/01/2026,TECH,Pieza técnica B2B,3,637.97,WhatsApp
2025-01-13,educacion,,1,"606,12",Web
26-feb-26,Icon ,Figura Quri 8cm,1,38.08,WhatsApp
2026-03-12,educacion,Curso vacacional,1,"882,97",
27/06/2026,PRINT,Impresión resina por encargo,5,"1.997,29",IG
04/05/2026,print ,Impresión resina por encargo,3,463.91,Instagram
04/03/2026,Print,Impresión resina por encargo,2,S/ 517.58,Referido
27/01/2026,educacion,Taller robótica colegio,5,3535.82,Web
2026-01-20,Icon ,Figura pintada a mano,1,118.10,Web
16-mar-26,Print,Impresión PLA por encargo,5,933.30,Instagram
9-ene-26,Industrial,Serie corta industrial,1,S/ 2610.76,whatsapp
2026-04-27,Icon ,Llavero coleccionable,1,S/ 18.62,whatsapp
21/08/2025,impresion 3d,Repuesto a medida,1,"102,96",whatsapp
07/06/2026,Coleccionables,Figura pintada a mano,1,S/ 113.11,Web
2026-08-11,educacion,Taller impresión 3D,1,1171.94,Web
04/04/2026,Impresión 3D,Repuesto a medida,5,368.30,IG
2025-04-28,Coleccionables,Figura Quri 8cm,1,54.34,Instagram
2025-06-19,impresion 3d,Trofeo personalizado,5,388.53,Instagram
12/11/2025,IMPRESION,,1,S/ 200.79,Web
09/04/2025,Tech,Escaneo y reingeniería,1,S/ 1498.15,Referido
06/08/2025,print ,Impresión resina por encargo,1,"334,16",
14/01/2025,print ,,1,S/ 114.43,whatsapp
2025-10-11,ICON,Figura KUSI 10cm,3,S/ 156.15,Feria
2025-04-28,Coleccionables,Figura Quri 8cm,3,S/ 135.93,
2026-04-24,educacion,,1,1964.87,whatsapp
2025-03-11,Impresión 3D,Impresión resina por encargo,1,S/ 139.33,Instagram
